20/10/2022	11:29:35 	 b3c10c72-d20c-4384-969a-b6548335c317 	 GET 	 undefined 	 /
20/10/2022	11:29:35 	 13c27e41-e6dd-4f24-91fd-07c3c1d6e5f6 	 GET 	 undefined 	 /css/style.css
20/10/2022	11:29:39 	 97cd5c5a-c3cd-4f0f-8a75-a9b221f3ce61 	 GET 	 undefined 	 /
20/10/2022	11:29:39 	 ced51c04-dc19-491b-859d-e053e8bc8494 	 GET 	 undefined 	 /css/style.css
20/10/2022	11:30:06 	 baf57e75-aa7e-4afe-8563-8d9acdff4aaf 	 GET 	 undefined 	 /new-page
20/10/2022	11:30:06 	 1a4fec41-b053-43aa-acbf-24d05e511aa4 	 GET 	 undefined 	 /img/img1.jpg
20/10/2022	11:30:06 	 8ad68bb5-bfbd-4f25-9fe1-b3cc1bcc331b 	 GET 	 undefined 	 /css/style.css
20/10/2022	11:30:08 	 b439f311-6215-4b39-843d-48358d5ba8ce 	 GET 	 undefined 	 /
20/10/2022	11:30:08 	 e944b8d5-b747-4cbb-8904-912ad85cbc02 	 GET 	 undefined 	 /css/style.css
20/10/2022	11:30:22 	 1614a075-ebae-4088-94ce-fe38cf4abd13 	 GET 	 undefined 	 /
20/10/2022	11:30:22 	 6e432ee4-9033-4a68-861f-8232fc6a927a 	 GET 	 undefined 	 /css/style.css
20/10/2022	11:32:28 	 86ba64c3-ef52-41eb-bb39-3b3cf56525b5 	 GET 	 undefined 	 /
20/10/2022	11:32:28 	 88eb530a-30f4-485c-94ff-03044d5b78bd 	 GET 	 undefined 	 /css/style.css
20/10/2022	11:32:31 	 8b94c912-6521-48e7-9c15-1d0836a2e4b6 	 GET 	 undefined 	 /
20/10/2022	11:32:31 	 df641d5e-71ee-4521-acaa-cea225aac092 	 GET 	 undefined 	 /css/style.css
20/10/2022	11:33:50 	 652f5b7c-c267-4d9c-8ce6-0ba2c26f28e4 	 OPTIONS 	 https://www.google.com 	 /
20/10/2022	11:33:50 	 977c130c-ec9d-47bd-90e1-c7b970263b93 	 GET 	 https://www.google.com 	 /
20/10/2022	11:33:53 	 25a7f81a-0d34-4be3-a9af-d991b8899939 	 OPTIONS 	 https://www.google.com 	 /
20/10/2022	11:33:53 	 0c057294-7fb6-4a44-8b22-2f2150244d9e 	 GET 	 https://www.google.com 	 /
20/10/2022	11:33:55 	 3408cf69-2632-46c0-9a88-75ba71ffb62d 	 OPTIONS 	 https://www.google.com 	 /
20/10/2022	11:33:55 	 0089be48-0b8d-4a95-b073-c73ece6c4d7d 	 GET 	 https://www.google.com 	 /
20/10/2022	11:33:57 	 2ae442a2-80ab-4971-aea8-08f376419aca 	 OPTIONS 	 https://www.google.com 	 /
20/10/2022	11:33:57 	 592de8d4-35d4-4e9c-b15f-35f6a8d7a491 	 GET 	 https://www.google.com 	 /
20/10/2022	11:34:04 	 703999f6-ffc7-42ee-9c58-3981918199bb 	 OPTIONS 	 https://www.google.com 	 /new-page
20/10/2022	11:34:04 	 a889d511-be88-47f9-8d77-42bee03fa4a0 	 GET 	 https://www.google.com 	 /new-page
20/10/2022	11:34:16 	 ce71f3a4-a63a-4012-85c1-a748f4fc0d17 	 OPTIONS 	 https://www.google.com 	 /new-pa
20/10/2022	11:34:16 	 e98d2bdd-b5f0-4557-8225-bb47797a076e 	 GET 	 https://www.google.com 	 /new-pa
20/10/2022	11:34:30 	 98c865cb-8b44-474b-9933-d8fe5a0bf6f6 	 OPTIONS 	 https://www.google.com 	 /old-page
20/10/2022	11:34:30 	 6b99d854-0215-4c5c-9041-20243bda8137 	 GET 	 https://www.google.com 	 /old-page
20/10/2022	11:34:34 	 678c0bc0-053b-4877-af13-33d380502244 	 OPTIONS 	 https://www.google.com 	 /old-page.html
